valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.518,2015,0.00543,['BØRNS'],0.611,218107,0.797,0,2GiJYvgVaD2HtM8GqD9EgQ,0.00137,6,0.26,-7.627000000000002,0,Electric Love,87,2015-10-16,0.0533,120.041
0.337,2015,0.0678,['The Neighbourhood'],0.588,260173,0.521,0,5E30LdtzQTGqRvNd7l6kG5,0.149,10,0.123,-9.461,1,Daddy Issues,86,2015-10-30,0.0329,85.012
0.785,2015,0.0115,['Tame Impala'],0.64,216320,0.74,1,6K4t31amVTZDgR3sKmwUJJ,0.00678,4,0.1669999999999999,-4.083,1,The Less I Know The Better,85,2015-07-17,0.0284,116.879
0.512,2015,0.205,['Chris Stapleton'],0.392,293293,0.37,0,3fqwjXwUGN6vbzIwvyFMhx,0.0096,9,0.0821,-10.888,1,Tennessee Whiskey,79,2015-05-04,0.0298,48.718
0.672,2015,0.0371,['WILLOW'],0.764,196520,0.705,0,0y60itmpH0aPKsFiGxmtnh,1.94e-05,3,0.0943,-5.279,0,Wait a Minute!,83,2015-01-11,0.0278,101.003
0.1,2015,0.969,['Lord Huron'],0.545,208212,0.366,0,0QZ5yyl6B6utIWkxeBDxQN,0.267,2,0.6409999999999999,-9.51,1,The Night We Met,76,2015-04-07,0.0378,86.99700000000001
0.1369999999999999,2015,0.0671,['The Weeknd'],0.585,242253,0.564,1,7fBv7CLKzipRk6EC6TWHOB,0.0,0,0.135,-7.063,0,The Hills,83,2015-08-28,0.0515,113.003
0.189,2015,0.223,['Bryson Tiller'],0.765,198293,0.356,1,3pXF1nA74528Edde4of9CC,0.0,11,0.0963,-5.556,0,Don't,79,2015-10-02,0.195,96.991
0.446,2015,0.612,['Melanie Martinez'],0.68,179867,0.7290000000000001,1,4DpNNXFMMxQEKl7r0ykkWA,0.0,5,0.224,-5.077,1,Play Date,85,2015-08-14,0.0475,123.97
0.276,2015,0.107,['Bryson Tiller'],0.525,194613,0.433,1,43PuMrRfbyyuz4QpZ3oAwN,0.0,6,0.135,-10.598,1,Exchange,78,2015-10-02,0.185,160.108
0.4,2015,0.418,['Thomas Rhett'],0.595,227427,0.389,0,5kNe7PE09d6Kvw5pAsx23n,1.39e-06,2,0.116,-9.245,1,Die A Happy Man,75,2015-01-01,0.0349,166.05200000000005
0.315,2015,0.611,['blackbear'],0.63,245172,0.5,1,6y6jbcPG4Yn3Du4moXaenr,4.04e-05,1,0.114,-8.755,0,idfc,80,2015-02-14,0.0611,144.871
0.19,2015,0.47,"['Mac Miller', 'Miguel']",0.843,208080,0.435,1,6GnhWMhgJb7uyiiPEiEkDA,0.0,8,0.147,-8.442,1,Weekend (feat. Miguel),76,2015-09-18,0.178,120.058
0.19,2015,0.324,['$uicideBoy$'],0.753,145078,0.679,1,5XAPpyIoYF3QXP34Hv8Pvx,4.2100000000000014e-05,5,0.423,-7.0920000000000005,0,Kill Yourself (Part III),79,2015-09-21,0.0349,105.977
0.648,2015,0.0462,['Twenty One Pilots'],0.7340000000000001,202333,0.637,0,3CRDbSIZ4r5MsZ0YwxuEkn,2.29e-05,4,0.0602,-5.6770000000000005,0,Stressed Out,84,2015-05-15,0.141,169.977
0.113,2015,0.157,"['Roy Woods', 'Drake']",0.7090000000000001,251860,0.362,1,0PXp9QxBfSKGGpWUNaws2X,0.0,11,0.109,-9.814,1,Drama (feat. Drake),77,2015-07-31,0.055,122.043
0.123,2015,0.187,['Rae Sremmurd'],0.6890000000000001,212947,0.564,1,1Ser4X0TKttOvo8bgdytTP,0.0,2,0.0721,-6.226,1,Come Get Her,77,2015-01-06,0.136,185.023
0.56,2015,0.00359,['Fall Out Boy'],0.393,228360,0.858,0,04aAxqtGp5pv12UXAg4pkq,0.0,4,0.102,-2.8680000000000003,0,Centuries,81,2015-01-20,0.0729,176.042
0.928,2015,0.00801,"['Mark Ronson', 'Bruno Mars']",0.856,269667,0.609,0,32OlwWuMpZ6b0aN2RZOeMS,8.149999999999999e-05,0,0.0344,-7.223,1,Uptown Funk (feat. Bruno Mars),82,2015-01-12,0.0824,114.988
0.395,2015,0.0362,"['Big Sean', 'E-40']",0.8240000000000001,284387,0.733,1,7FYH5AW3bVfZHJIQpq3UOA,0.0,1,0.325,-5.474,1,I Don't Fuck With You,75,2015-02-24,0.0613,97.972
0.5660000000000001,2015,0.00835,['Twenty One Pilots'],0.645,214507,0.713,0,2Z8WuEywRWYTKe1NybPQEW,0.0,6,0.113,-5.355,1,Ride,81,2015-05-15,0.0393,74.98899999999998
0.574,2015,0.000531,['Cody Jinks'],0.502,229928,0.685,0,0SF38KDlXNLJAxbYyOMnCy,1.61e-06,0,0.0923,-5.847,0,Loud and Heavy,73,2015-01-12,0.0283,81.978
0.604,2015,0.213,['Jeremih'],0.418,238320,0.7240000000000001,0,0PJIbOdMs3bd5AT8liULMQ,0.0,5,0.112,-3.724,1,oui,75,2015-12-04,0.0964,78.521
0.478,2015,0.287,"['Renée Elise Goldsberry', 'Original Broadway Cast of Hamilton']",0.7070000000000001,329228,0.593,0,3dP0pLbg9OfVwssDjp9aT0,0.0,5,0.15,-8.581,0,Satisfied,75,2015-09-25,0.0949,123.772
0.552,2015,0.522,"['Leslie Odom Jr.', 'Anthony Ramos', 'Daveed Diggs', 'Okieriete Onaodowan', 'Lin-Manuel Miranda', 'Phillipa Soo', 'Original Broadway Cast of Hamilton']",0.609,236738,0.435,0,4TTV7EcfroSLWzXRY6gLv6,0.0,11,0.118,-7.8610000000000015,0,Alexander Hamilton,75,2015-09-25,0.285,131.995
0.603,2015,0.00256,"['Fetty Wap', 'Remy Boyz']",0.618,196693,0.7170000000000001,1,5NQbUaeTEOGdD6hHcre0dZ,0.0,7,0.625,-5.738,1,679 (feat. Remy Boyz),77,2015-06-29,0.318,190.05
0.616,2015,0.00147,['Morgan Wallen'],0.517,212850,0.877,0,1yj1ZztSGITJ5Nf4mfH92c,0.0,4,0.208,-3.621,1,Spin You Around,72,2015-08-24,0.0297,150.004
0.451,2015,0.0285,['Alessia Cara'],0.573,230227,0.7390000000000001,0,0prNGof3XqfTvNDxHonvdK,0.0,0,0.111,-5.74,1,Scars To Your Beautiful,73,2015-11-13,0.129,97.085
0.0352,2015,0.194,['A$AP Rocky'],0.598,238307,0.252,1,4S7YHmlWwfwArgd8LfSPud,0.133,2,0.0992,-15.086,1,L$D,76,2015-05-26,0.0644,120.064
0.8170000000000001,2015,0.0244,['Fetty Wap'],0.746,222093,0.873,1,2d8JP84HNLKhmd6IYOoupQ,0.0,7,0.354,-3.803,1,Trap Queen,74,2015-09-25,0.128,148.075
0.211,2015,0.56,['Cavetown'],0.8109999999999999,226073,0.266,0,7s8VgA8OjvwBUuigKzEGBx,1.05e-06,7,0.0962,-12.478,1,This Is Home,76,2015-08-03,0.0406,130.04399999999998
0.283,2015,0.369,"['Wiz Khalifa', 'Charlie Puth']",0.6890000000000001,229526,0.481,0,2JzZzZUQj3Qff7wapcbKjc,1.03e-06,10,0.0649,-7.502999999999999,1,See You Again (feat. Charlie Puth),82,2015,0.0815,80.025
0.312,2015,0.113,"['Travis Scott', 'Kacy Hill']",0.402,339067,0.526,1,51EC3I1nQXpec4gDk0mQyP,8.33e-06,9,0.105,-6.7410000000000005,0,90210 (feat. Kacy Hill),75,2015-09-04,0.0904,81.404
0.199,2015,0.178,['X Ambassadors'],0.389,193547,0.665,0,7lGKEWMXVWWTt3X71Bv44I,0.000732,0,0.116,-6.169,1,Unsteady,77,2015-06-30,0.0644,117.055
0.792,2015,0.187,"['Renée Elise Goldsberry', 'Phillipa Soo', 'Jasmine Cephas-Jones', 'Leslie Odom Jr.', 'Original Broadway Cast of Hamilton']",0.74,186543,0.727,0,71X7bPDljJHrmEGYCe7kQ8,0.0,2,0.627,-6.252999999999999,1,The Schuyler Sisters,74,2015-09-25,0.278,101.409
0.0,2015,0.0,"['White Noise Meditation', 'Lullaby Land', 'White Noise Babies', 'Calming Sounds', 'Canciones De Cuna']",0.0,73887,2.01e-05,0,67iF3DdebmElASIGoebYt1,0.0,5,0.0,-15.776,1,Brown Noise - Loopable with No Fade,72,2015-05-26,0.0,0.0
0.434,2015,0.39,"['Jonathan Groff', 'Original Broadway Cast of Hamilton']",0.607,208321,0.466,0,6OG1S805gIrH5nAQbEOPY3,0.0,0,0.135,-7.562,1,You'll Be Back,74,2015-09-25,0.0578,121.741
0.515,2015,0.835,['Justin Bieber'],0.609,233720,0.378,0,50kpGaPAhYJ3sGmk6vplg0,0.0,4,0.28,-9.828,1,Love Yourself,82,2015-11-13,0.438,100.418
0.568,2015,0.15,"['Lin-Manuel Miranda', 'Anthony Ramos', 'Daveed Diggs', 'Okieriete Onaodowan', 'Leslie Odom Jr.', 'Original Broadway Cast of Hamilton']",0.698,333154,0.649,1,4cxvludVmQxryrnx1m9FqL,0.0,8,0.0903,-6.763999999999999,1,My Shot,74,2015-09-25,0.415,180.466
0.131,2015,0.00767,['Travis Scott'],0.713,262693,0.526,1,1wHZx0LgzFHyeIZkUydNXq,0.000148,1,0.124,-5.046,1,Antidote,77,2015-09-04,0.032,131.05
0.417,2015,0.4,"['Meghan Trainor', 'John Legend']",0.63,225053,0.53,0,2YlZnw2ikdb837oKMKjBkW,0.0,0,0.177,-7.258999999999999,1,Like I'm Gonna Lose You (feat. John Legend),80,2015-01-09,0.0434,108.038
